timestamp,label,conf,x1,y1,x2,y2,cx,cy,depth_rel
1760841588.7895663,person,0.8305,247,230,546,479,396,354,
1760841588.7895663,person,0.4662,407,213,564,362,485,287,
1760841588.7895663,suitcase,0.4063,0,401,161,479,80,440,
1760841588.7895663,car,0.3503,0,201,111,255,55,228,
1760841588.7895663,book,0.2965,587,362,640,396,613,379,
1760841588.7895663,chair,0.2906,256,274,357,454,306,364,
1760841588.7895663,bottle,0.2679,12,222,45,318,28,270,
1760841588.7895663,bottle,0.2632,37,238,65,313,51,275,
1760841588.9283996,person,0.8456,247,230,545,479,396,354,
1760841588.9283996,person,0.5229,408,212,564,362,486,287,
1760841588.9283996,car,0.3833,0,202,108,255,54,228,
1760841588.9283996,bottle,0.3141,13,223,45,318,29,270,
1760841588.9283996,book,0.3087,588,362,640,396,614,379,
1760841588.9283996,suitcase,0.2887,4,401,161,479,82,440,
1760841588.9283996,chair,0.2602,255,274,357,454,306,364,
1760841589.0644312,person,0.8114,246,230,546,479,396,354,
1760841589.0644312,bottle,0.4474,39,242,64,313,51,277,
1760841589.0644312,suitcase,0.3931,1,402,164,480,82,441,
1760841589.0644312,car,0.3891,0,201,111,255,55,228,
1760841589.0644312,bottle,0.3706,13,223,45,318,29,270,
1760841589.0644312,person,0.3698,407,213,564,362,485,287,
1760841589.0644312,book,0.3424,588,362,640,397,614,379,
1760841589.0644312,chair,0.2861,257,274,357,453,307,363,
1760841589.1920006,person,0.8463,246,231,544,479,395,355,
1760841589.1920006,car,0.5529,0,201,111,256,55,228,
1760841589.1920006,person,0.5416,406,213,564,362,485,287,
1760841589.1920006,suitcase,0.3716,0,402,161,479,80,440,
1760841589.1920006,bottle,0.3153,12,223,46,319,29,271,
1760841589.1920006,book,0.3015,588,362,640,396,614,379,
1760841589.1920006,chair,0.2861,255,273,358,458,306,365,
1760841589.1920006,bottle,0.2593,38,242,64,312,51,277,
1760841589.3117716,person,0.8469,249,231,547,479,398,355,
1760841589.3117716,person,0.4221,410,213,564,362,487,287,
1760841589.3117716,car,0.4166,0,202,106,255,53,228,
1760841589.3117716,bottle,0.3085,12,222,46,319,29,270,
1760841589.3117716,book,0.2879,587,362,640,396,613,379,
1760841589.3117716,chair,0.2839,257,274,357,452,307,363,
1760841589.3117716,suitcase,0.2639,1,401,164,479,82,440,
1760841589.4231112,person,0.8410,245,230,546,479,395,354,
1760841589.4231112,bottle,0.7095,12,224,45,319,28,271,
1760841589.4231112,bottle,0.5455,38,238,64,313,51,275,
1760841589.4231112,person,0.5242,408,213,564,362,486,287,
1760841589.4231112,suitcase,0.4362,2,401,161,479,81,440,
1760841589.4231112,book,0.3252,587,362,640,396,613,379,
1760841589.4231112,car,0.3244,0,202,110,257,55,229,
1760841589.5421357,person,0.8356,246,230,544,479,395,354,
1760841589.5421357,person,0.4679,408,214,564,362,486,288,
1760841589.5421357,bottle,0.4519,13,223,46,318,29,270,
1760841589.5421357,chair,0.3731,256,275,358,455,307,365,
1760841589.5421357,suitcase,0.3576,0,401,161,479,80,440,
1760841589.5421357,book,0.3040,588,363,640,397,614,380,
1760841589.5421357,bottle,0.2830,37,239,65,313,51,276,
1760841589.5421357,dining table,0.2626,505,354,639,479,572,416,
1760841589.6581376,person,0.8323,245,230,546,479,395,354,
1760841589.6581376,suitcase,0.4197,0,399,161,479,80,439,
1760841589.6581376,chair,0.3512,255,273,358,456,306,364,
1760841589.6581376,person,0.3308,410,214,564,361,487,287,
1760841589.6581376,car,0.3077,0,201,107,256,53,228,
1760841589.6581376,bottle,0.2731,12,223,45,317,28,270,
1760841589.7945406,person,0.8481,244,230,544,479,394,354,
1760841589.7945406,bottle,0.4913,14,223,45,318,29,270,
1760841589.7945406,car,0.3797,0,201,111,256,55,228,
1760841589.7945406,person,0.3624,408,213,564,362,486,287,
1760841589.7945406,bottle,0.3509,37,243,64,312,50,277,
1760841589.7945406,chair,0.3286,255,274,358,456,306,365,
1760841589.7945406,dining table,0.2766,504,355,639,479,571,417,
1760841589.7945406,suitcase,0.2622,1,398,163,479,82,438,
1760841589.9391482,person,0.8411,244,229,543,479,393,354,
1760841589.9391482,person,0.4771,408,213,564,362,486,287,
1760841589.9391482,bottle,0.4218,37,242,65,312,51,277,
1760841589.9391482,suitcase,0.3764,1,401,163,480,82,440,
1760841589.9391482,car,0.3437,0,202,108,256,54,229,
1760841589.9391482,book,0.3070,588,362,640,396,614,379,
1760841590.073206,person,0.8388,249,230,546,479,397,354,
1760841590.073206,bottle,0.6023,12,223,45,319,28,271,
1760841590.073206,bottle,0.4703,37,235,66,313,51,274,
1760841590.073206,person,0.4282,408,213,564,362,486,287,
1760841590.073206,suitcase,0.4262,0,401,161,479,80,440,
1760841590.073206,book,0.3347,588,362,640,396,614,379,
1760841590.073206,car,0.3289,0,202,112,255,56,228,
1760841590.073206,chair,0.2976,255,274,358,461,306,367,
1760841590.073206,dining table,0.2726,505,354,639,479,572,416,
1760841590.1880357,person,0.7817,248,230,548,479,398,354,
1760841590.1880357,person,0.5102,407,213,564,362,485,287,
1760841590.1880357,book,0.3517,588,362,640,397,614,379,
1760841590.1880357,chair,0.3308,256,274,358,455,307,364,
1760841590.1880357,suitcase,0.3218,0,401,161,479,80,440,
1760841590.1880357,car,0.3088,0,202,112,255,56,228,
1760841590.3232937,person,0.8251,248,230,547,479,397,354,
1760841590.3232937,person,0.4961,409,214,564,362,486,288,
1760841590.3232937,suitcase,0.4761,1,399,161,479,81,439,
1760841590.3232937,car,0.4361,0,202,108,255,54,228,
1760841590.3232937,book,0.3351,588,363,640,397,614,380,
1760841590.3232937,chair,0.2668,256,274,358,456,307,365,
1760841590.4497254,person,0.8040,245,230,547,479,396,354,
1760841590.4497254,car,0.4310,0,202,111,255,55,228,
1760841590.4497254,person,0.3926,408,213,564,362,486,287,
1760841590.4497254,suitcase,0.3887,1,402,163,479,82,440,
1760841590.4497254,book,0.3296,588,362,640,397,614,379,
1760841590.4497254,bottle,0.3047,38,242,64,311,51,276,
1760841590.4497254,chair,0.2974,256,274,357,458,306,366,
1760841590.5605836,person,0.8329,249,230,547,479,398,354,
1760841590.5605836,person,0.5116,408,213,564,362,486,287,
1760841590.5605836,car,0.4513,0,202,109,255,54,228,
1760841590.5605836,suitcase,0.4065,0,402,161,479,80,440,
1760841590.5605836,bottle,0.3601,12,222,45,319,28,270,
1760841590.5605836,book,0.3188,588,362,640,396,614,379,
1760841590.5605836,chair,0.3130,256,274,358,458,307,366,
1760841590.5605836,bottle,0.3123,38,239,65,312,51,275,
1760841590.5605836,bottle,0.2558,161,223,187,293,174,258,
1760841590.6772728,person,0.8047,246,230,545,479,395,354,
1760841590.6772728,person,0.4750,410,213,564,362,487,287,
1760841590.6772728,bottle,0.4092,13,223,45,318,29,270,
1760841590.6772728,suitcase,0.4041,0,402,161,479,80,440,
1760841590.6772728,car,0.3982,0,202,109,255,54,228,
1760841590.6772728,chair,0.3523,255,274,358,456,306,365,
1760841590.6772728,bottle,0.3280,37,241,65,313,51,277,
1760841590.6772728,book,0.2981,588,362,640,397,614,379,
1760841590.8221204,person,0.8293,250,230,548,479,399,354,
1760841590.8221204,car,0.5181,0,202,110,255,55,228,
1760841590.8221204,bottle,0.4716,13,221,46,319,29,270,
1760841590.8221204,bottle,0.4383,38,242,65,313,51,277,
1760841590.8221204,book,0.3578,588,362,640,396,614,379,
1760841590.8221204,person,0.3511,410,214,564,363,487,288,
1760841590.8221204,chair,0.3393,255,274,357,455,306,364,
1760841590.8221204,suitcase,0.2863,1,401,163,479,82,440,
1760841590.9620535,person,0.8275,245,230,544,479,394,354,
1760841590.9620535,person,0.5690,407,213,564,363,485,288,
1760841590.9620535,suitcase,0.3775,5,400,161,479,83,439,
1760841590.9620535,book,0.3460,588,363,640,397,614,380,
1760841590.9620535,bottle,0.3125,38,242,65,310,51,276,
1760841590.9620535,car,0.3094,0,202,105,255,52,228,
1760841590.9620535,chair,0.2934,256,274,358,457,307,365,
1760841591.0849392,person,0.8291,247,230,544,479,395,354,
1760841591.0849392,person,0.3489,406,213,564,363,485,288,
1760841591.0849392,suitcase,0.3462,2,400,163,480,82,440,
1760841591.0849392,chair,0.3304,256,275,358,456,307,365,
1760841591.0849392,bottle,0.3252,13,222,45,317,29,269,
1760841591.0849392,book,0.3072,588,362,640,396,614,379,
1760841591.0849392,car,0.2908,0,201,110,255,55,228,
1760841591.191763,person,0.8074,245,230,546,479,395,354,
1760841591.191763,person,0.5280,408,213,564,363,486,288,
1760841591.191763,car,0.4731,0,202,106,255,53,228,
1760841591.191763,suitcase,0.4484,1,403,161,479,81,441,
1760841591.191763,chair,0.3258,256,273,358,458,307,365,
1760841591.191763,bottle,0.3244,13,222,45,317,29,269,
1760841591.191763,book,0.2878,588,363,640,396,614,379,
1760841591.191763,dining table,0.2690,506,355,639,479,572,417,
1760841591.2999992,person,0.8232,245,230,543,479,394,354,
1760841591.2999992,car,0.4743,0,202,109,255,54,228,
1760841591.2999992,suitcase,0.4048,0,399,164,479,82,439,
1760841591.2999992,person,0.3893,408,213,564,362,486,287,
1760841591.2999992,chair,0.3245,256,273,357,458,306,365,
1760841591.2999992,book,0.3209,588,363,640,396,614,379,
1760841591.4106255,person,0.8106,251,230,543,479,397,354,
1760841591.4106255,person,0.5400,408,213,564,362,486,287,
1760841591.4106255,car,0.4678,0,202,111,256,55,229,
1760841591.4106255,suitcase,0.3489,0,401,161,479,80,440,
1760841591.4106255,bottle,0.3477,161,223,187,293,174,258,
1760841591.4106255,chair,0.3396,257,274,358,456,307,365,
1760841591.4106255,book,0.3200,587,363,640,396,613,379,
1760841591.5205107,person,0.8198,249,230,546,479,397,354,
1760841591.5205107,person,0.5488,407,213,564,362,485,287,
1760841591.5205107,bottle,0.3516,13,223,45,319,29,271,
1760841591.5205107,suitcase,0.3467,0,398,164,480,82,439,
1760841591.5205107,car,0.3020,0,202,110,256,55,229,
1760841591.5205107,bottle,0.2774,37,242,65,313,51,277,
1760841591.5205107,chair,0.2744,257,274,357,455,307,364,
1760841591.6249106,person,0.8337,249,230,544,479,396,354,
1760841591.6249106,car,0.4982,0,203,112,255,56,229,
1760841591.6249106,person,0.4803,409,213,564,362,486,287,
1760841591.6249106,bottle,0.4340,12,223,46,318,29,270,
1760841591.6249106,bottle,0.4079,38,242,64,313,51,277,
1760841591.6249106,suitcase,0.3830,3,401,163,479,83,440,
1760841591.6249106,book,0.3265,588,362,640,397,614,379,
1760841591.6249106,chair,0.2941,256,274,358,455,307,364,
1760841591.6249106,dining table,0.2832,504,355,639,479,571,417,
1760841591.6249106,bottle,0.2665,161,223,188,293,174,258,
1760841591.7763615,person,0.8438,251,231,544,479,397,355,
